Date,End,Type,Miles
2019-01-01,2019-02-01,Personal,325
2019-02-01,2019-03-01,Personal,187
2019-03-01,2019-04-01,Personal,363
2019-04-01,2019-05-01,Personal,554
2019-05-01,2019-06-01,Personal,715
2019-06-01,2019-07-01,Personal,601
2019-07-01,2019-08-01,Personal,521
2019-08-01,2019-09-01,Personal,665
2019-09-01,2019-10-01,Personal,3188
2019-10-01,2019-11-01,Personal,424
2019-11-01,2019-12-01,Personal,459
2019-12-01,2020-01-01,Personal,991
2020-01-01,2020-02-01,Personal,1158
2020-02-01,2020-03-01,Personal,2467
2020-03-01,2020-04-01,Personal,2542
2020-04-01,2020-05-01,Personal,660
2020-05-01,2020-06-01,Personal,341
2020-06-01,2020-07-01,Personal,815
2020-07-01,2020-08-01,Personal,2086
2020-08-01,2020-09-01,Personal,783
2020-09-01,2020-10-01,Personal,558
2020-10-01,2020-11-01,Personal,693
2020-11-01,2020-12-01,Personal,656
2020-12-01,2021-01-01,Personal,444
2021-01-01,2021-02-01,Personal,552
2021-02-01,2021-03-01,Personal,271
2021-03-01,2021-04-01,Personal,732
2021-04-01,2021-05-01,Personal,564
2021-05-01,2021-06-01,Personal,849
2021-06-01,2021-07-01,Personal,816
2021-07-01,2021-08-01,Personal,498
2021-08-01,2021-09-01,Personal,858
2021-09-01,2021-10-01,Personal,736
2021-10-01,2021-11-01,Personal,570
2021-11-01,2021-12-01,Personal,334
2021-12-01,2022-01-01,Personal,420
2022-01-01,2022-02-01,Personal,454
2022-02-01,2022-03-01,Personal,594
2022-03-01,2022-04-01,Personal,339
2022-04-01,2022-05-01,Personal,564
2022-05-01,2022-06-01,Personal,2209
2022-06-01,2022-07-01,Personal,713
2022-07-01,2022-08-01,Personal,651
2022-08-01,2022-09-01,Personal,814
2022-09-01,2022-10-01,Personal,1025
2022-10-01,2022-11-01,Personal,1118
2022-11-01,2022-12-01,Personal,834
2022-12-01,2023-01-01,Personal,1146
2023-01-01,2023-02-01,Personal,389
2023-02-01,2023-03-01,Personal,311
2023-03-01,2023-04-01,Personal,438
2023-04-01,2023-05-01,Personal,465
2023-05-01,2023-06-01,Personal,736
2023-06-01,2023-07-01,Personal,627
2023-07-01,2023-08-01,Personal,1241
2023-08-01,2023-09-01,Personal,1131
2023-09-01,2023-10-01,Personal,576
2023-10-01,2023-11-01,Personal,1040
2023-11-01,2023-12-01,Personal,564
2023-12-01,2024-01-01,Personal,879
2024-01-01,2024-02-01,Personal,551
2024-02-01,2024-03-01,Personal,347
2024-03-01,2024-04-01,Personal,478
2024-04-01,2024-05-01,Personal,653
2024-05-01,2024-06-01,Personal,811
2024-06-01,2024-07-01,Personal,931
2024-07-01,2024-08-01,Personal,986
2024-08-01,2024-09-01,Personal,789
2024-09-01,2024-10-01,Personal,1593
2024-10-01,2024-11-01,Personal,1110
2024-11-01,2024-12-01,Personal,1064
2024-12-01,2025-01-01,Personal,582
2019-01-01,2019-02-01,Work,0
2019-02-01,2019-03-01,Work,0
2019-03-01,2019-04-01,Work,0
2019-04-01,2019-05-01,Work,0
2019-05-01,2019-06-01,Work,0
2019-06-01,2019-07-01,Work,0
2019-07-01,2019-08-01,Work,0
2019-08-01,2019-09-01,Work,0
2019-09-01,2019-10-01,Work,0
2019-10-01,2019-11-01,Work,0
2019-11-01,2019-12-01,Work,0
2019-12-01,2020-01-01,Work,0
2020-01-01,2020-02-01,Work,0
2020-02-01,2020-03-01,Work,0
2020-03-01,2020-04-01,Work,0
2020-04-01,2020-05-01,Work,0
2020-05-01,2020-06-01,Work,0
2020-06-01,2020-07-01,Work,0
2020-07-01,2020-08-01,Work,0
2020-08-01,2020-09-01,Work,0
2020-09-01,2020-10-01,Work,0
2020-10-01,2020-11-01,Work,0
2020-11-01,2020-12-01,Work,0
2020-12-01,2021-01-01,Work,0
2021-01-01,2021-02-01,Work,0
2021-02-01,2021-03-01,Work,0
2021-03-01,2021-04-01,Work,0
2021-04-01,2021-05-01,Work,0
2021-05-01,2021-06-01,Work,0
2021-06-01,2021-07-01,Work,0
2021-07-01,2021-08-01,Work,0
2021-08-01,2021-09-01,Work,0
2021-09-01,2021-10-01,Work,0
2021-10-01,2021-11-01,Work,0
2021-11-01,2021-12-01,Work,995
2021-12-01,2022-01-01,Work,676
2022-01-01,2022-02-01,Work,972
2022-02-01,2022-03-01,Work,794
2022-03-01,2022-04-01,Work,1537
2022-04-01,2022-05-01,Work,1411
2022-05-01,2022-06-01,Work,1385
2022-06-01,2022-07-01,Work,1849
2022-07-01,2022-08-01,Work,2093
2022-08-01,2022-09-01,Work,721
2022-09-01,2022-10-01,Work,755
2022-10-01,2022-11-01,Work,838
2022-11-01,2022-12-01,Work,1150
2022-12-01,2023-01-01,Work,687
2023-01-01,2023-02-01,Work,1112
2023-02-01,2023-03-01,Work,825
2023-03-01,2023-04-01,Work,0
2023-04-01,2023-05-01,Work,418
2023-05-01,2023-06-01,Work,1359
2023-06-01,2023-07-01,Work,1972
2023-07-01,2023-08-01,Work,1661
2023-08-01,2023-09-01,Work,1978
2023-09-01,2023-10-01,Work,1019
2023-10-01,2023-11-01,Work,1449
2023-11-01,2023-12-01,Work,1213
2023-12-01,2024-01-01,Work,1001
2024-01-01,2024-02-01,Work,982
2024-02-01,2024-03-01,Work,1878
2024-03-01,2024-04-01,Work,1561
2024-04-01,2024-05-01,Work,948
2024-05-01,2024-06-01,Work,1827
2024-06-01,2024-07-01,Work,1905
2024-07-01,2024-08-01,Work,2567
2024-08-01,2024-09-01,Work,2001
2024-09-01,2024-10-01,Work,1222
2024-10-01,2024-11-01,Work,1604
2024-11-01,2024-12-01,Work,905
2024-12-01,2025-01-01,Work,590